name,normalizedName,description,eligibilityStatus,category,sourceUrl,source,scrapedAt
"AA Meeting Transportation","aa meeting transportation","Transportation to AA Meetings (Alcoholics Anonymous) is an eligible expense with a flexible spending account (FSA), health savings account (HSA) and health reimbursement arrangement (HRA). Transportation to AA Meetings are not eligible for reimbursement with a dependent care flexible spending account (DCFSA) or a limited-purpose flexible spending account (LPFSA).","Eligible","","https://hsastore.com/hsa-eligibility-list/a/aa-meeting-transportation","hsastore","2026-06-07T22:11:28.669Z"
"Abdominoplasty","abdominoplasty","Abdominoplasty, also known as a tummy tuck, is not eligible for reimbursement with a flexible spending account (FSA), health savings account (HSA), health reimbursement arrangement (HRA), limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA) as it is considered a cosmetic procedure.","Not Eligible","","https://hsastore.com/hsa-eligibility-list/a/abdominoplasty","hsastore","2026-06-07T22:11:28.669Z"
"Acetaminophen","acetaminophen","Acetaminophen reimbursement is eligible with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Acetaminophen reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","Pain Relief","https://hsastore.com/hsa-eligibility-list/a/acetaminophen","hsastore","2026-06-07T22:11:28.669Z"
"Acid Controller","acid controller","Acid controller reimbursement is eligible with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement account (HRA). Acid controller reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","Heartburn Acid Reflux Gerd","https://hsastore.com/hsa-eligibility-list/a/acid-controller","hsastore","2026-06-07T22:11:28.669Z"
"Acne Medicine","acne medicine","Acne medicine reimbursement is eligible with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Acne medicine reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","Acne","https://hsastore.com/hsa-eligibility-list/a/acne-medicine","hsastore","2026-06-07T22:11:28.669Z"
"Activated Charcoal","activated charcoal","Activated charcoal is not eligible with a flexible spending account (FSA), health savings account (HSA), a health reimbursement arrangement (HRA), a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Not Eligible","","https://hsastore.com/hsa-eligibility-list/a/activated-charcoal","hsastore","2026-06-07T22:11:28.669Z"
"Acupressure","acupressure","Acupressure is eligible with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). In some cases, acupressure may require a Letter of Medical Necessity (LMN) from a medical professional for a benefits administrator to substantiate the expense. Acupressure is not eligible for reimbursement with a dependent care flexible spending account (DCFSA) or a limited-purpose flexible spending account (LPFSA).","Eligible w/LMN","","https://hsastore.com/hsa-eligibility-list/a/acupressure","hsastore","2026-06-07T22:11:28.669Z"
"Acupressure Mat","acupressure mat","Acupressure mat reimbursement is eligible with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Acupressure mat reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","","https://hsastore.com/hsa-eligibility-list/a/acupressure-mat","hsastore","2026-06-07T22:11:28.669Z"
"Acupressure Wrist Band","acupressure wrist band","Acupressure wrist band reimbursement is eligible with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Acupressure wrist band reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","","https://hsastore.com/hsa-eligibility-list/a/acupressure-wrist-band","hsastore","2026-06-07T22:11:28.669Z"
"Acupuncture","acupuncture","Acupuncture is an eligible expense with a flexible spending account (FSA), health savings account (HSA) or health reimbursement arrangement (HRA).Acupuncture is not eligible for reimbursement with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","","https://hsastore.com/hsa-eligibility-list/a/acupuncture","hsastore","2026-06-07T22:11:28.669Z"
"Adaptive Equipment","adaptive equipment","Adaptive equipment reimbursement is eligible with a flexible spending account (FSA), health savings account (HSA) and a health reimbursement arrangement (HRA). Adaptive equipment reimbursement is not eligible with a dependent care flexible spending account (DCFSA) or a limited-purpose flexible spending account (LPFSA).","Eligible","At Home Medical Supplies","https://hsastore.com/hsa-eligibility-list/a/adaptive-equipment","hsastore","2026-06-07T22:11:28.669Z"
"Adoption (fees associated with adopting a child)","adoption fees associated with adopting a child","The expenses associated with the adoption of a child are not eligible for reimbursement with a flexible spending account (FSA), health savings account (HSA), health reimbursement arrangement (HRA), limited-purpose flexible spending account (LPFSA) or dependent care flexible spending account (DCFSA). The qualifying medical expenses of a dependent adopted child are eligible wih an FSA, HSA or HRA.","Not Eligible","","https://hsastore.com/hsa-eligibility-list/a/adoption-fees-associated-with-adopting-a-child","hsastore","2026-06-07T22:11:28.669Z"
"Adult Day Care","adult day care","Adult day care reimbursement is not eligible with a flexible spending account (FSA), health savings arrangement (HSA), health reimbursement account (HRA) or a limited-purpose flexible spending account (LPFSA). Adult day care may qualify under a dependent care flexible spending account (DCFSA) when the adult is physically or mentally incapable of self care and qualifying tax dependent of the account holder.","Not Eligible","","https://hsastore.com/hsa-eligibility-list/a/adult-day-care","hsastore","2026-06-07T22:11:28.669Z"
"After-School Care or Extended Day Care Programs","after school care or extended day care programs","After-school care or extended day care program reimbursement is not eligible with a flexible spending account (FSA), health savings account (HSA), health reimbursement arrangement (HRA) or a limited-purpose flexible spending account (LPFSA). After-school care or extended day care program reimbursement is eligible with a dependent care flexible spending account (DCFSA) for the care of qualifying individuals and when it allows the account holder and their spouse to be gainfully employed or to be seeking gainful employment.","Not Eligible","","https://hsastore.com/hsa-eligibility-list/a/after-school-care-or-extended-day-care-programs","hsastore","2026-06-07T22:11:28.669Z"
